Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Value,Standard Units,pChEMBL Value,Value
CHEMBL257083,,263.38,0,2.95,CNCC1CCCCC1(OC)c1cccc(OC)c1,2686,nM,5.57,2686
CHEMBL258336,,247.38,0,3.28,CO[C@]1(c2ccccc2)CCCC[C@@H]1CN(C)C,2534,nM,5.6,2534
CHEMBL270570,,305.46,0,4.16,CCCCO[C@]1(c2cccc(O)c2)CCCC[C@@H]1CN(C)C,2744,nM,5.56,2744
CHEMBL258140,,319.49,0,4.46,CCCCO[C@]1(c2cccc(OC)c2)CCCC[C@@H]1CN(C)C,110,nM,6.96,110
CHEMBL256227,,305.46,0,4.07,CCCO[C@]1(c2cccc(OC)c2)CCCC[C@@H]1CN(C)C,25,nM,7.6,25
CHEMBL427215,,293.48,None,None,COc1ccc([C@H](CN(C)C)[Si]2(O)CCCCC2)cc1,4200,nM,5.38,4.2
CHEMBL83729,,259.35,0,2.43,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C,1960,nM,5.71,1960
CHEMBL149776,,432.35,1,5.46,COc1cccc2c1O[C@@H](CN1C3C=C(c4ccc(Cl)c(Cl)c4)CC1CC3)CO2,260,nM,6.58,260
CHEMBL1275670,,267.38,0,3.63,CCN(C)C1CCC(c2c[nH]c3ccc(C#N)cc23)C1,1.6,nM,8.8,1.6
CHEMBL1277138,,327.43,0,4.69,N#Cc1ccc2[nH]cc(C3CCC(N4Cc5ccccc5C4)C3)c2c1,6.8,nM,8.17,6.8
CHEMBL1762472,,337.25,0,3.94,CNCC[C@@H](Oc1cc(Cl)ccc1C#N)c1ccccc1.Cl,4500,nM,5.35,4.5
CHEMBL385359,,384.52,0,4.09,CN1C2CCC1C1COC(=O)CCCCCCC(=O)Nc3ccc(cc3)C1C2,2090,nM,5.68,2090
CHEMBL378243,,388.53,0,3.26,CN1C2CCC1C1COC(=O)CCSCCC(=O)Nc3ccc(cc3)C1C2,6730,nM,5.17,6730
CHEMBL1643513,,307.22,0,4.8,CN[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,132,nM,6.88,132
CHEMBL1643518,,307.22,0,4.28,CN[C@H]1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,128,nM,6.89,128
CHEMBL402365,,260.38,0,2.03,CCN(CC)C(=O)[C@@]1(c2ccccc2)CC1CNC,5400,nM,5.27,5400
CHEMBL259209,MILNACIPRAN,246.35,0,1.77,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,420,nM,6.38,420
CHEMBL404729,,346.4,0,2.17,C=CCN(CC(=C)F)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,39,nM,7.41,39
CHEMBL260131,,314.39,0,1.16,C#CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,125,nM,6.9,125
CHEMBL411677,,308.38,0,0.93,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,145,nM,6.84,145
